,lat,lon,Severity,filename
5085,33.905,-117.56,2.037037037037037,33.905_-117.56
14037,40.987,-73.668,2.08,40.987_-73.668
27597,32.236000000000004,-110.876,1.53125,32.236000000000004_-110.876
4122,33.7,-117.86,2.142857142857143,33.7_-117.86
10722,38.81,-77.491,2.055555555555556,38.81_-77.491
22167,43.154,-123.366,2.0,43.154_-123.366
22009,25.688,-80.334,2.0,25.688_-80.334
3782,33.467,-84.21300000000001,2.5294117647058822,33.467_-84.21300000000001
3351,32.925,-96.789,2.142857142857143,32.925_-96.789
7640,35.099000000000004,-89.871,2.24,35.099000000000004_-89.871
13788,40.824,-73.87,2.215909090909091,40.824_-73.87
17557,38.828,-77.456,2.0,38.828_-77.456
13184,40.686,-73.808,2.074074074074074,40.686_-73.808
419,25.926,-80.212,2.55,25.926_-80.212
330,25.874,-80.171,2.022222222222222,25.874_-80.171
27306,28.122,-82.74,1.95,28.122_-82.74
21642,28.301,-81.374,2.0,28.301_-81.374
4423,33.778,-117.87,2.109375,33.778_-117.87
14125,41.098,-74.037,2.0416666666666665,41.098_-74.037
17626,35.359,-119.04,2.0,35.359_-119.04
3719,33.461,-112.29,2.1842105263157894,33.461_-112.29
12123,39.703,-86.077,2.1142857142857143,39.703_-86.077
9716,37.833,-122.483,2.083333333333333,37.833_-122.483
24846,28.578,-81.418,2.0,28.578_-81.418
25977,35.055,-80.85300000000001,2.0,35.055_-80.85300000000001
18740,37.332,-120.528,2.0,37.332_-120.528
2124,30.269,-81.613,2.0303030303030303,30.269_-81.613
14730,41.828,-87.70700000000001,2.75,41.828_-87.70700000000001
9219,37.559,-77.295,2.083333333333333,37.559_-77.295
20050,39.869,-75.34700000000001,2.0,39.869_-75.34700000000001
7449,34.692,-118.17,2.125,34.692_-118.17
21162,43.105,-123.362,2.0,43.105_-123.362
28409,45.073,-122.96,1.962962962962963,45.073_-122.96
16086,44.901,-93.066,2.095238095238096,44.901_-93.066
3402,32.96,-96.729,2.3783783783783785,32.96_-96.729
19268,39.131,-77.20700000000001,2.0,39.131_-77.20700000000001
19230,34.138,-118.719,2.0,34.138_-118.719
17001,47.202,-122.462,2.2058823529411766,47.202_-122.462
942,27.41,-80.401,2.2058823529411766,27.41_-80.401
4427,33.778,-78.793,2.1875,33.778_-78.793
8852,37.301,-121.877,2.023809523809524,37.301_-121.877
4253,33.745,-117.834,2.1666666666666665,33.745_-117.834
18671,25.867,-80.243,2.0,25.867_-80.243
